>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Œródmieœcie PlacWolnoœci 2;3 ; ; ;;3 ;
2 ; R-k Œródmieœcie 3 Maja; ; ; ;; ;
3 ; R-k Œródmieœcie Urszulanki; ; ; ;; ;
4 ; R-k Œródmieœcie S¹d; ; ; ;; ;
5 ; R-k Smolna Franciszkanie;1 ; ; ;;1 ;
6 ; R-k Smolna Osiedle;1 ; ; ;;1 ;
7 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
8 ; R-k Niedobczyce Pary¿; ; ; ;; ;
9 ; R-k Popielów ¯abik; ; ; ;; ;
10 ; R-k Popielów Skrzy¿owanie;4 ; ; ;;4 ;
11 ; R-k Popielów Worcella;4 ; ; ;;4 ;
12 ; R-k Niedobczyce KopalniaRymer; ; ; ;; ;
13 ; R-k Niedobczyce Stadion;2 ; ; ;;2 ;
14 ; R-k Niedobczyce Orlik; ; ; ;; ;
15 ; R-k Niedobczyce Wrêbowa;8 ; ; ;;8 ;
16 ; Radlin Rogozina; ; ; ;; ;
17 ; Radlin Korfantego Centrum;4 ; ; ;;4 ;
18 ; Radlin KorfantegoMakuszyñskiego; ; ; ;; ;
19 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
20 ; Radlin Ujejskiego; ; ; ;; ;
 Razem: ;;27 ; ; ;;27 ;

   Kursówka: 01   Linia:  3   Wariant: B - Marcel-Szpital   Kurs:  05:29;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Radlin Ujejskiego;3 ; ; ;;3 ;
2 ; Radlin Korfantego KWKMarcel;6 ;1 ; ;;7 ;
3 ; Radlin KorfantegoMakuszyñskiego; ;5 ; ;;5 ;
4 ; Radlin Korfantego Centrum;2 ;5 ;1 ;;8 ;
5 ; Radlin Rogozina; ; ; ;; ;
6 ; R-k Niedobczyce Wrêbowa;11 ;3 ; ;;14 ;
7 ; R-k Niedobczyce Orlik;11 ;1 ;2 ;;14 ;
8 ; R-k Niedobczyce Stadion; ;3 ; ;;3 ;
9 ; R-k Niedobczyce Szko³a;2 ; ;1 ;;3 ;
10 ; R-k Niedobczyce Karolinka;1 ; ; ;;1 ;
11 ; R-k Niedobczyce Pary¿; ;3 ; ;;3 ;
12 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
13 ; R-k Smolna Osiedle; ; ; ;; ;
14 ; R-k Smolna Franciszkanie; ; ; ;; ;
15 ; R-k Œródmieœcie S¹d; ; ; ;; ;
16 ; R-k Œródmieœcie DworzecKolejowy;5 ; ; ;;5 ;
17 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
18 ; R-k Œródmieœcie PlacWolnoœci 1; ; ; ;; ;
19 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
