>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:46;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie27-09-2021 - 01-10-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Œródmieœcie PlacWolnoœci 2;4 ; ; ;;4 ;
2 ; R-k Œródmieœcie 3 Maja; ; ; ;; ;
3 ; R-k Œródmieœcie Urszulanki;1 ;1 ; ;;2 ;
4 ; R-k Œródmieœcie S¹d; ; ; ;; ;
5 ; R-k Smolna Franciszkanie; ;4 ; ;;4 ;
6 ; R-k Smolna Osiedle;2 ; ; ;;2 ;
7 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
8 ; R-k Niedobczyce Pary¿; ; ; ;; ;
9 ; R-k Popielów ¯abik;2 ; ; ;;2 ;
10 ; R-k Popielów Skrzy¿owanie;5 ; ; ;;5 ;
11 ; R-k Popielów Worcella;6 ; ; ;;6 ;
12 ; R-k Niedobczyce KopalniaRymer; ; ; ;; ;
13 ; R-k Niedobczyce Stadion; ; ; ;; ;
14 ; R-k Niedobczyce Orlik;1 ; ; ;;1 ;
15 ; R-k Niedobczyce Wrêbowa;8 ; ; ;;8 ;
16 ; Radlin Rogozina; ; ;1 ;;1 ;
17 ; Radlin Korfantego Centrum;5 ; ; ;;5 ;
18 ; Radlin KorfantegoMakuszyñskiego; ; ; ;; ;
19 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
20 ; Radlin Ujejskiego; ; ; ;; ;
 Razem: ;;34 ;5 ;1 ;;40 ;

   Kursówka: 01   Linia:  3   Wariant: B - Marcel-Szpital   Kurs:  05:29;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Radlin Ujejskiego; ; ; ;; ;
2 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
3 ; Radlin KorfantegoMakuszyñskiego; ; ;4 ;;4 ;
4 ; Radlin Korfantego Centrum;5 ;3 ;2 ;;10 ;
5 ; Radlin Rogozina;1 ; ; ;;1 ;
6 ; R-k Niedobczyce Wrêbowa;14 ;1 ; ;;15 ;
7 ; R-k Niedobczyce Orlik;5 ; ; ;;5 ;
8 ; R-k Niedobczyce Stadion; ;3 ;3 ;;6 ;
9 ; R-k Niedobczyce Szko³a; ;1 ; ;;1 ;
10 ; R-k Niedobczyce Karolinka; ; ; ;; ;
11 ; R-k Niedobczyce Pary¿; ;8 ; ;;8 ;
12 ; R-k Zamys³ów Wodzis³awska;2 ; ; ;;2 ;
13 ; R-k Smolna Osiedle; ; ; ;; ;
14 ; R-k Smolna Franciszkanie; ; ; ;; ;
15 ; R-k Œródmieœcie S¹d;2 ;1 ; ;;3 ;
16 ; R-k Œródmieœcie DworzecKolejowy;7 ;1 ; ;;8 ;
17 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
18 ; R-k Œródmieœcie PlacWolnoœci 1;2 ; ; ;;2 ;
