>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;19:05;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie25-09-2021 - 25-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 1   Linia:  11   Wariant: A - 11 DA- Ryb KuŸnia   Kurs:  06:29;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy4; ; ; ;; ;
2 ; R-k Œródmieœcie Dworek;1 ; ; ;;1 ;
3 ; R-k Œródmieœcie S¹d; ; ; ;; ;
4 ; R-k Œródmieœcie DworzecKolejowy; ; ; ;; ;
5 ; R-k Œródmieœcie Chrobrego; ; ;5 ;;5 ;
6 ; R-k Œródmieœcie PlacWolnoœci 2; ;1 ; ;;1 ;
7 ; R-k Pó³noc Gliwicka Szpital;3 ; ; ;;3 ;
8 ; R-k Pó³noc K¹pielisko Ruda; ; ; ;; ;
9 ; R-k Wielopole Skrzy¿owanie;1 ; ; ;;1 ;
10 ; R-k Wielopole Lipowa; ; ; ;; ;
11 ; R-k Rybnicka KuŸnia Szko³a; ; ; ;; ;
12 ; R-k Rybnicka KuŸniaMaksymiliana; ; ; ;; ;
13 ; R-k Rybnicka KuŸnia Osiedle; ; ; ;; ;
14 ; R-k Rybnicka KuŸniaElektrownia; ; ; ;; ;
15 ; R-k Rybnicka KuŸnia Ch³odnieII; ; ; ;; ;
 Razem: ;;5 ;1 ;5 ;;11 ;

   Kursówka: 1   Linia:  11   Wariant: B - 11 Ryb. KuŸnia-DA   Kurs:  07:11;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; R-k Rybnicka KuŸnia Ch³odnieII; ; ; ;; ;
2 ; R-k Rybnicka KuŸniaElektrownia; ; ; ;; ;
3 ; R-k Rybnicka KuŸnia Osiedle;1 ;3 ; ;;4 ;
4 ; R-k Rybnicka KuŸniaMaksymiliana; ; ;1 ;;1 ;
5 ; R-k Rybnicka KuŸnia Szko³a; ;2 ;1 ;;3 ;
6 ; R-k Wielopole Lipowa; ; ; ;; ;
7 ; R-k Wielopole Skrzy¿owanie; ; ; ;; ;
8 ; R-k Pó³noc K¹pielisko Ruda; ; ; ;; ;
9 ; R-k Pó³noc Gliwicka Szpital; ; ; ;; ;
10 ; R-k Œródmieœcie PlacWolnoœci 1; ; ; ;; ;
11 ; R-k Œródmieœcie 3 Maja; ; ; ;; ;
12 ; R-k Œródmieœcie Urszulanki; ; ; ;; ;
13 ; R-k Œródmieœcie S¹d; ; ; ;; ;
14 ; R-k Œródmieœcie Dworek; ; ; ;; ;
15 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;1 ;5 ;2 ;;8 ;

   Kursówka: 1   Linia:  9   Wariant: A - 9 DA-Niewiadom-DA   Kurs:  07:59;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy2; ; ; ;; ;
2 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
