>>>  [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;19.11.2021;;07:10;#1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Przystanki:;;;;;;;;;;;;;;

;;;;;;;;;;;;

Lp; Ulica ; Nazwa przystanku ;;;; S³upek ; Nrprzystanku ; Nrs³upka ; Strefa ; PKPasa ; PKKier ; Nr inwentarzowy ; Urz¹dzenie przystankowe ;;; Autobus ; Inny - Techniczny ; Koleje PKP; GPS-D³ugoœæ ; GPS-Szerokoœæ ; GPS-pochodzenia ; GPS-Strefa; Lok.wg drogi; Nazwa skrócona ; Nazwa na wydruk ; Nazwa dla SRG ; Piktogram ; Wymowa skrócona ; Wymowa rozszerzona ; Ulica ; Miejscowoœæ ; Kraj ; Gmina ; Osiedle ; Nazwakrañca ; Ids³upka ; Modyfikowa³ ; Data edycji; Godzedycji ; Symbol przystanku ;; Symbol s³upka;; Dodatkowe inf. ;;
1;Rybnicka;Adamowice Centrum;;;;Las;325;0;1;;;;;;;ABus;;;18,19,51.9;50,07,50.6;Brak;50;;Adamowice;Adamowice Centrum;Adamowice;;Adamowice Centrum;Adamowice Centrum;Rybnicka;Lyski;;LYSKI;;;663;.GRZEGORZ;23-04-2021;12:38:31;;;;;;;
2;Rybnicka;Adamowice Centrum;;;;Raszczyce;325;1;1;;;;;;;ABus;;;18,19,51.9;50,07,50.6;Brak;50;;Adamowice;Adamowice Centrum;Adamowice;;Adamowice Centrum;Adamowice Centrum;Rybnicka;Lyski;;LYSKI;;;884;ALASKA0;09-11-2020;13:47:36;;;;;;;
3;Rybnicka;Adamowice Las;;;;Bogunice;326;0;1;;;;;;;ABus;;;18,20,27.0;50,07,52.3;Brak;50;;Adamowice Las;Adamowice Las;Adamowice Las;;Adamowice Las;Adamowice Las;Rybnicka;Lyski;;LYSKI;;;664;DBTARAN1;30-07-2012;09:07:54;;;;;;;
4;Rybnicka;Adamowice Las;;;;Raszczyce;326;1;1;;;;;;;ABus;;;18,20,27.0;50,07,52.3;Brak;50;;Adamowice Las;Adamowice Las;Adamowice Las;;Adamowice Las;Adamowice Las;Rybnicka;Lyski;;LYSKI;;;883;ALASKA0;09-11-2020;13:46:54;;;;;;;
5;Mariacka;Biertu³towy Mariacka;;;;B skrzy¿;230;0;1;;;;;;;ABus;;;18,29,21.1;50,02,48.1;Brak;50;;B Mariacka;Biertu³towy Mariacka;B Mariacka;;Biertu³towy Mariacka;Biertu³towy Mariacka;Mariacka;Radlin;;RADLIN;;;472;.GRZEGORZ;24-11-2017;12:01:39;;;;;;;
6;Mariacka;Biertu³towy Mariacka;;;;Popielów;230;1;1;;;;;;;ABus;;;18,29,26.9;50,02,47.0;Brak;50;;B Mariacka;Biertu³towy Mariacka;B Mariacka;;Biertu³towy Mariacka;Biertu³towy Mariacka;Mariacka;Radlin;;RADLIN;;;473;.GRZEGORZ;11-05-2017;08:39:17;;;;;;;
7;Raciborska;Bogunice B¹czkowiec;;;;Sumina;328;0;1;;;;;;;ABus;;;18,23,01.9;50,08,10.4;Brak;50;;Bogunice B¹cz;Bogunice B¹czkowiec;Bogunice B¹cz;;Bogunice B¹czkowiec;Bogunice B¹czkowiec;Raciborska;Lyski;;LYSKI;;;666;.GRZEGORZ;11-05-2017;08:39:48;;;;;;;
8;Raciborska;Bogunice B¹czkowiec;;;;Adamowice;328;1;1;;;;;;;ABus;;;18,23,01.9;50,08,10.4;Brak;50;;Bogunice B¹cz;Bogunice B¹czkowiec;Bogunice B¹cz;;Bogunice B¹czkowiec;Bogunice B¹czkowiec;Raciborska;Lyski;;LYSKI;;;881;ALASKA0;09-11-2020;13:44:16;;;;;;;
9;Raciborska;Bogunice Centrum;;;;I;327;0;1;;;;;;;ABus;;;18,21,51.6;50,08,12.4;Brak;50;;Bogunice Cen;Bogunice Centrum;Bogunice Cen;;Bogunice Centrum;Bogunice Centrum;Raciborska;Lyski;;LYSKI;;;665;.GRZEGORZ;11-05-2017;08:40:09;;;;;;;
10;Raciborska;Bogunice Centrum;;;;Adamowice;327;1;1;;;;;;;ABus;;;18,21,51.6;50,08,12.4;Brak;50;;Bogunice Cen;Bogunice Centrum;Bogunice Cen;;Bogunice Centrum;Bogunice Centrum;Raciborska;Lyski;;LYSKI;;;882;ALASKA0;09-11-2020;13:45:30;;;;;;;
11;Boguszowicka;Boguszowicka Cmentarz;;;;Rasz;365;0;0;;;;;;;ABus;;;18,35,58.9;50,04,05.3;Brak;50;;Bog Cmentarz;Boguszowicka Cmentarz;Bog Cmentarz;;Boguszowicka Cmentarz;Boguszowicka Cmentarz;Boguszowicka;;;;BOGUSZOWICE STARE;;735;DBTARAN1;15-03-2018;13:43:03;;;;;;;
12;Brzeziñska;Brzeziñska;;;;L ¯orska;336;0;0;;;;;;;ABus;;;18,34,07.3;50,05,25.4;Brak;50;;Brzeziñska;Brzeziñska;Brzeziñska;;Brzeziñska;Brzeziñska;Brzeziñska;;;;;;676;DBTARAN1;15-03-2018;13:43:03;;;;;;;
13;Szybowa;Buzowice Skrzy¿owanie;;;;Ryd;204;0;0;;;;;;;ABus;;;18,26,31.9;50,05,07.1;Brak;50;;Buz Skrzy¿;Buzowice Skrzy¿;Buz Skrzy¿;;Buzowice Skrzy¿owanie;Buzowice Skrzy¿owanie;Szybowa;Rydu³towy;;RYDU£TOWY;;;413;.GRZEGORZ;24-11-2017;08:59:01;;;;;;;
14;Szybowa;Buzowice Skrzy¿owanie;;;;Bednorz;204;1;1;;;;;;;ABus;;;18,26,31.9;50,05,07.1;Brak;50;;Buz Skrzy¿;Buzowice Skrzy¿owanie;Buz Skrzy¿;;Buzowice Skrzy¿owanie;Buzowice Skrzy¿owanie;Szybowa;Rydu³towy;;RYDU£TOWY;;;414;.GRZEGORZ;11-05-2017;08:40:19;;;;;;;
15;Szybowa;Buzowice Skrzy¿owanie;;;;Buzowice23;204;2;1;;;;;;;ABus;;;18,26,31.9;50,05,07.1;Brak;50;;Buz Skrzy¿;Buzowice Skrzy¿owanie;Buz Skrzy¿;;Buzowice Skrzy¿owanie;Buzowice Skrzy¿owanie;Szybowa;Rydu³towy;;RYDU£TOWY;;;502;.GRZEGORZ;11-05-2017;08:40:19;;;;;;;
16;Grodzka;Chwa³êcice Przedszkole;;;;Szko³a;245;0;0;;;;;;;ABus;;;18,28,56.2;50,08,10.1;Brak;50;;Chwa³ Przedszko;Chwa³êcice Przedszkole;Chwa³ Przedszko;;Chwa³êcice Przedszkole;Chwa³êcice Przedszkole;Grodzka;Rybnik;;RYBNIK;CHWA£ÊCICE;;509;DBTARAN1;27-08-2009;19:06:24;;;;;;;
17;Czecha;Chwa³êcice Szko³a;;;;Poczta;246;0;0;;;;;;;ABus;;;18,29,05.6;50,08,05.4;Brak;50;;Chwa³ Szko³a;Chwa³êcice Szko³a;Chwa³ Szko³a;;Chwa³êcice Szko³a;Chwa³êcice Szko³a;Czecha;Rybnik;;RYBNIK;CHWA£ÊCICE;;510;DBTARAN1;27-08-2009;19:06:24;;;;;;;
18;Œl¹ska;Chwa³owice Skrzy¿owanie;;;;Chwa³ Kopa;254;1;0;;;;;;;ABus;;;18,32,16.6;50,04,13.0;Brak;50;;Chwa³ Skrzy¿;Chwa³owice Skrzy¿owanie;Chwa³ Skrzy¿;;Chwa³owice Skrzy¿owanie;Chwa³owice Skrzy¿owanie;Œl¹ska;Rybnik;;RYBNIK;CHWA£OWICE;;526;DBTARAN1;27-08-2009;19:06:24;;;;;;;
19;Œl¹ska;Chwa³owice Skrzy¿owanie;;;;Chwa³ Las;254;0;0;;;;;;;ABus;;;18,32,18.0;50,04,12.7;Brak;50;;Chwa³ Skrzy¿;Chwa³owice Skrzy¿owanie;Chwa³ Skrzy¿;;Chwa³owice Skrzy¿owanie;Chwa³owice Skrzy¿owanie;Œl¹ska;Rybnik;;RYBNIK;CHWA£OWICE;;525;DBTARAN1;27-08-2009;19:06:24;;;;;;;
